index,open,high,low,close,volume,amount,date
1331,5733.429,5796.36,5727.623,5787.148,14176809800,147827142215.0,2020-06-19
1332,5793.788,5815.394,5770.81,5784.027,14539234900,157370407892.0,2020-06-22
1333,5783.12,5809.283,5755.398,5804.343,12574812700,140277421310.0,2020-06-23
1334,5808.539,5824.313,5773.291,5789.089,11024143600,128536776012.0,2020-06-24
1335,5774.458,5789.159,5740.256,5762.438,11776115100,131671126495.0,2020-06-29
1336,5790.065,5875.328,5788.208,5864.417,11535032400,139671518550.0,2020-06-30
1337,5884.54,5885.874,5814.755,5881.888,14283298200,161437631595.0,2020-07-01
1338,5880.883,5979.99,5858.574,5975.279,20118138000,200063179993.0,2020-07-02
1339,5989.996,6052.523,5968.066,6051.51,22682681800,217087507632.0,2020-07-03
1340,6095.956,6318.308,6095.956,6299.855,30237648900,291741992284.0,2020-07-06
1341,6368.313,6480.029,6300.245,6380.028,32586542500,329327405395.0,2020-07-07
1342,6378.946,6541.438,6352.373,6535.415,28884738900,292261704952.0,2020-07-08
1343,6541.285,6712.145,6530.021,6693.745,31741227100,334582903483.0,2020-07-09
1344,6664.326,6763.812,6644.358,6676.438,28873667200,322509785234.0,2020-07-10
1345,6710.635,6899.622,6710.635,6899.518,29730559500,335186154096.0,2020-07-13
1346,6897.003,6897.003,6672.8,6807.727,29386829700,341854745107.0,2020-07-14
1347,6815.616,6838.152,6598.523,6638.838,25647283000,300879616806.0,2020-07-15
1348,6642.329,6710.995,6305.133,6319.998,25331587000,277008155088.0,2020-07-16
1349,6327.026,6447.509,6272.941,6344.591,19680390900,215076901728.0,2020-07-17
1350,6419.08,6526.833,6340.649,6526.833,21241322200,225848583601.0,2020-07-20
1351,6546.565,6591.01,6500.868,6563.324,19396594900,214682284529.0,2020-07-21
1352,6554.168,6699.687,6534.743,6620.689,21010119800,232947421316.0,2020-07-22
1353,6562.048,6629.207,6431.261,6620.086,20799246200,240882435491.0,2020-07-23
1354,6584.809,6609.288,6265.379,6283.983,21901777700,247232797430.0,2020-07-24
1355,6304.586,6337.328,6229.471,6298.735,14554248100,168023361892.0,2020-07-27
1356,6345.682,6385.391,6307.789,6359.664,13883814400,162440480589.0,2020-07-28
